231,66,mL1c-50-15,sL1-50-33,mL2r-50-15,20.43,246.8
259,73,mL1c-50-15,sL1-50-33,mL2r-50-15,18.44,249.9
292,52,mL1c-50-15,sL1-50-33,mL2r-50-15,21.13,256.9
210,60,mL1c-50-15,mL2r-50-15,sL3-50-33,20.36,245.2
235,53,mL1c-50-15,mL2r-50-15,sL3-50-33,20.88,249.9
259,69,mL1c-50-15,mL2r-50-15,sL3-50-33,17.38,251.2
280,78,mL1c-50-15,mL2r-50-15,sL3-50-33,15.74,252.9
203,51,mL1c-50-15,mL3t-50-15,mL2r-50-15,20.57,241.2
237,67,mL1c-50-15,mL3t-50-15,mL2r-50-15,16.81,243.2
260,58,mL1c-50-15,mL3t-50-15,mL2r-50-15,17.21,247.7
296,76,mL1c-50-15,mL3t-50-15,mL2r-50-15,13.96,249.5
210,52,mL2c-50-15,kL3-50-4,mR1t-50-15,19.48,244.2
233,70,mL2c-50-15,kL3-50-4,mR1t-50-15,16.22,244.5
274,61,mL2c-50-15,kL3-50-4,mR1t-50-15,15.99,250
297,76,mL2c-50-15,kL3-50-4,mR1t-50-15,13.7,252.5
210,79,mL2c-50-15,mR1c-50-15,mL2c-50-15,17.42,236.9
243,53,mL2c-50-15,mR1c-50-15,mL2c-50-15,18.56,246
270,60,mL2c-50-15,mR1c-50-15,mL2c-50-15,16.4,248.2
298,70,mL2c-50-15,mR1c-50-15,mL2c-50-15,14.34,250
205,61,mL3c-50-15,sR2-50-33,kR2-50-4,16.32,244
229,51,mL3c-50-15,sR2-50-33,kR2-50-4,17.31,249.2
252,76,mL3c-50-15,sR2-50-33,kR2-50-4,13.42,248
288,65,mL3c-50-15,sR2-50-33,kR2-50-4,13.57,254.7
204,79,mL3c-50-15,mR3r-50-15,mR2t-50-15,18.03,236.2
240,51,mL3c-50-15,mR3r-50-15,mR2t-50-15,19.52,245.9
272,66,mL3c-50-15,mR3r-50-15,mR2t-50-15,15.66,247.5
298,58,mL3c-50-15,mR3r-50-15,mR2t-50-15,16.78,252.5
205,51,mR1c-50-15,sL1-50-33,mR2r-50-15,24.06,244.5
243,62,mR1c-50-15,sL1-50-33,mR2r-50-15,20.33,248.6
263,78,mR1c-50-15,sL1-50-33,mR2r-50-15,17.49,249.2
283,70,mR1c-50-15,sL1-50-33,mR2r-50-15,17.76,253.2
202,59,mR1c-50-15,mL2r-50-15,mR1c-50-15,18.88,239.1
236,70,mR1c-50-15,mL2r-50-15,mR1c-50-15,16.13,241.7
266,51,mR1c-50-15,mL2r-50-15,mR1c-50-15,18.27,249.2
297,79,mR1c-50-15,mL2r-50-15,mR1c-50-15,13.23,248
217,65,mR1c-50-15,mL3t-50-15,sL2-50-33,19.65,245.2
245,72,mR1c-50-15,mL3t-50-15,sL2-50-33,17.55,248.2
272,79,mR1c-50-15,mL3t-50-15,sL2-50-33,16.05,251.1
292,53,mR1c-50-15,mL3t-50-15,sL2-50-33,19.17,257.7
202,60,mR2c-50-15,kL3-50-4,mL2t-50-15,19.06,243.1
249,80,mR2c-50-15,kL3-50-4,mL2t-50-15,15.13,247
271,53,mR2c-50-15,kL3-50-4,mL2t-50-15,17.95,253.5
289,68,mR2c-50-15,kL3-50-4,mL2t-50-15,14.92,254
209,74,mR2c-50-15,mR1c-50-15,mL3c-50-15,17.78,237.2
